Price Max,Duration,API-Service,API-Doctor,Formula,Formula Price,API-Category,API-ID,API-Name,API-Name 1,Created time,Last edited time,ID,Name,Category,Price Min,Services,Выполняют
,,Вазотомия,15000,Вазотомия 15000,15000,https://www.notion.so/e6c6c51fc998440999ffe30d6752aa9e,0f322d6eae5f48d7b16c5f4476aba4a0,,,"January 24, 2023 4:21 PM","February 24, 2023 6:37 AM",No,Вазотомия,Хирургия: Кадырбеков Магомедрасул,15000,Вазотомия (https://www.notion.so/fc6f8ffb81774c7bb40e235967f3751f?pvs=21),"https://www.notion.so/588852a1407f42cf980093f3f707ac92, https://www.notion.so/bd8bdff347ed4584a1d64cdf52fdd20d"
,60,Ринопластика,80000,Ринопластика 80000,80000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,21b541260943495cbd71c953624e0f4f,,,"November 22, 2022 3:24 AM","January 24, 2023 12:43 PM",No,Ринопластика,Хирургия: Амирханов Гусейн,80000,Ринопластика (https://www.notion.so/6eb9467cf55b4d539516f394bd1e75e8?pvs=21),"https://www.notion.so/35ca409d6a6e41f485a6c6279a9e83cd, https://www.notion.so/631d1fffa5094799bf7ad2b0c7ad489b, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/bd8bdff347ed4584a1d64cdf52fdd20d"
,60,Ринопластика (кончик носа),60000,Ринопластика 60000,60000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,1f1d04c659f649a9af8190534a82cd7c,,,"January 24, 2023 12:49 PM","January 24, 2023 12:49 PM",No,Ринопластика (кончик носа),Хирургия: Амирханов Гусейн,60000,Ринопластика (https://www.notion.so/6eb9467cf55b4d539516f394bd1e75e8?pvs=21),"https://www.notion.so/35ca409d6a6e41f485a6c6279a9e83cd, https://www.notion.so/631d1fffa5094799bf7ad2b0c7ad489b, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/bd8bdff347ed4584a1d64cdf52fdd20d"
8000,60,Ринопластика: кончик носа,60000,Ринопластика 60000,60000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,9ade4af488c94d96a28148302b389466,,,"January 24, 2023 1:15 PM","February 10, 2023 3:33 AM",No,Ринопластика: кончик носа,Хирургия: Амирханов Хайбула,60000,Ринопластика (https://www.notion.so/6eb9467cf55b4d539516f394bd1e75e8?pvs=21),"https://www.notion.so/35ca409d6a6e41f485a6c6279a9e83cd, https://www.notion.so/631d1fffa5094799bf7ad2b0c7ad489b, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/bd8bdff347ed4584a1d64cdf52fdd20d"
,60,"Риносептопластика ",130000,Риносептопластика 130000,130000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,eaa3023ba3e944f8a796c3a9dc90fd02,,,"March 19, 2022 1:41 PM","January 24, 2023 12:56 PM",No,"Риносептопластика ",Хирургия: Амирханов Хайбула,130000,Риносептопластика (https://www.notion.so/cc8856d8283646bbb4e8c28daf75026d?pvs=21),"https://www.notion.so/35ca409d6a6e41f485a6c6279a9e83cd, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/bd8bdff347ed4584a1d64cdf52fdd20d"
180000,60,Риносептопластика с пересадкой хряща,140000,Риносептопластика 140000,140000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,b6fb56113c274b279af2dd6607325636,,,"March 19, 2022 1:44 PM","January 24, 2023 12:57 PM",No,Риносептопластика с пересадкой хряща,Хирургия: Амирханов Хайбула,140000,Риносептопластика (https://www.notion.so/cc8856d8283646bbb4e8c28daf75026d?pvs=21),"https://www.notion.so/35ca409d6a6e41f485a6c6279a9e83cd, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/bd8bdff347ed4584a1d64cdf52fdd20d"
,60,Септопластика,55000,Септопластика 55000,55000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,3b6176155143483a8a0f65ab483644f6,,,"March 19, 2022 1:44 PM","January 24, 2023 12:58 PM",No,Септопластика,Хирургия: Амирханов Хайбула,55000,Септопластика (https://www.notion.so/b53b4a219ec5432795832755953e9032?pvs=21),"https://www.notion.so/35ca409d6a6e41f485a6c6279a9e83cd, https://www.notion.so/588852a1407f42cf980093f3f707ac92, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/bd8bdff347ed4584a1d64cdf52fdd20d"
110000,60,Отопластика,55000,Отопластика 55000,55000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,fb46257640234f6ab3d87ccd5aa48fe3,,,"March 19, 2022 1:47 PM","January 24, 2023 12:59 PM",No,Отопластика,Хирургия: Амирханов Хайбула,55000,Отопластика (https://www.notion.so/531cf9bf2f054dc0aff6dcd56f8c50e8?pvs=21),"https://www.notion.so/631d1fffa5094799bf7ad2b0c7ad489b, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f"
,60,Верхняя блефаропластика,60000,Верхняя блефаропластика 60000,60000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,d85d28ec868d4b00aca4ce033db794ab,,,"March 19, 2022 1:50 PM","January 24, 2023 1:18 PM",No,Верхняя блефаропластика,Хирургия: Амирханов Хайбула,60000,Верхняя блефаропластика (https://www.notion.so/cb7116bc023f49c18fb5de5f6d8e4261?pvs=21),"https://www.notion.so/303aca93eafe43a98e5ba01a9aaefeec, https://www.notion.so/631d1fffa5094799bf7ad2b0c7ad489b, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/c77301ccd98f48829952edde8115fe12"
,60,Нижняя блефаропластика,65000,Нижняя блефаропластика 65000,65000,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,4c5ee959afe24164bc9b01a143ccf213,,,"March 19, 2022 2:01 PM","January 24, 2023 1:18 PM",No,Нижняя блефаропластика,Хирургия: Амирханов Хайбула,65000,Нижняя блефаропластика (https://www.notion.so/89800f4fa1e644539f218a1ad9c925ed?pvs=21),"https://www.notion.so/303aca93eafe43a98e5ba01a9aaefeec, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f, https://www.notion.so/c77301ccd98f48829952edde8115fe12"
